clip,section,in_tc,out_tc,dur_sec,spoken_chars,words,images,image_files,audio_file
clip01,Hook + Intro,00:00:00:00,00:01:20:00,79.98,998,199,6,clip01-01.jpg; clip01-02.jpg; clip01-03.jpg; clip01-04.jpg; clip01-05.jpg; clip01-06.jpg,clip01.mp3
clip02,L1 No One is Crazy,00:01:20:00,00:02:12:03,52.15,1359,275,5,clip02-01.jpg; clip02-02.jpg; clip02-03.jpg; clip02-04.jpg; clip02-05.jpg,clip02.mp3
clip03,L2 Luck & Risk (Gates/Kent),00:02:12:03,00:03:03:15,51.47,664,135,4,clip03-01.jpg; clip03-02.jpg; clip03-03.jpg; clip03-04.jpg,clip03.mp3
clip04,L2 tail + L3 Enough (Heller),00:03:03:15,00:04:07:24,64.35,931,189,5,clip04-01.jpg; clip04-02.jpg; clip04-03.jpg; clip04-04.jpg; clip04-05.jpg,clip04.mp3
clip05,L3 Gupta + L4 Compounding,00:04:07:24,00:05:04:14,56.62,1181,241,5,clip05-01.jpg; clip05-02.jpg; clip05-03.jpg; clip05-04.jpg; clip05-05.jpg,clip05.mp3
clip06,L4 tail (time > return),00:05:04:14,00:06:19:04,74.58,341,70,2,clip06-01.jpg; clip06-02.jpg,clip06.mp3
clip07,L5 Get vs Stay Wealthy,00:06:19:04,00:07:33:17,74.54,827,166,4,clip07-01.jpg; clip07-02.jpg; clip07-03.jpg; clip07-04.jpg,clip07.mp3
clip08,L6 Freedom / control of time,00:07:33:17,00:08:43:22,70.2,1065,222,5,clip08-01.jpg; clip08-02.jpg; clip08-03.jpg; clip08-04.jpg; clip08-05.jpg,clip08.mp3
clip09,L7 Wealth is unseen,00:08:43:22,00:10:08:13,84.63,873,182,6,clip09-01.jpg; clip09-02.jpg; clip09-03.jpg; clip09-04.jpg; clip09-05.jpg; clip09-06.jpg,clip09.mp3
clip10,L7 tail + L8 Room for Error,00:10:08:13,00:11:43:11,94.91,1193,248,6,clip10-01.jpg; clip10-02.jpg; clip10-03.jpg; clip10-04.jpg; clip10-05.jpg; clip10-06.jpg,clip10.mp3
clip11,Recap + Read callback,00:11:43:11,00:12:56:22,73.44,908,193,2,clip11-01.jpg; clip11-02.jpg,clip11.mp3
clip12,CTA + disclaimer + sign-off,00:12:56:22,00:13:34:06,37.36,462,94,1,clip12-01.jpg,clip12.mp3
