kind	start	end	dur	clip	file / card
shot	0.00	8.00	8.00	1	clip01-01.jpg
shot	8.00	16.00	8.00	1	clip01-02.jpg
shot	16.00	23.99	8.00	1	clip01-03.jpg
shot	23.99	31.99	8.00	1	clip01-04.jpg
shot	31.99	39.99	8.00	1	clip01-05.jpg
shot	39.99	47.99	8.00	1	clip01-06.jpg
shot	47.99	55.99	8.00	1	clip01-01.jpg
shot	55.99	63.98	8.00	1	clip01-02.jpg
shot	63.98	71.98	8.00	1	clip01-03.jpg
shot	71.98	79.98	8.00	1	clip01-04.jpg
shot	79.98	87.43	7.45	2	clip02-01.jpg
shot	87.43	94.88	7.45	2	clip02-02.jpg
shot	94.88	102.33	7.45	2	clip02-03.jpg
shot	102.33	109.78	7.45	2	clip02-04.jpg
shot	109.78	117.23	7.45	2	clip02-05.jpg
shot	117.23	124.68	7.45	2	clip02-01.jpg
shot	124.68	132.13	7.45	2	clip02-02.jpg
shot	132.13	140.71	8.58	3	clip03-01.jpg
shot	140.71	149.29	8.58	3	clip03-02.jpg
shot	149.29	157.87	8.58	3	clip03-03.jpg
shot	157.87	166.44	8.58	3	clip03-04.jpg
shot	166.44	175.02	8.58	3	clip03-01.jpg
shot	175.02	183.60	8.58	3	clip03-02.jpg
shot	183.60	191.64	8.04	4	clip04-01.jpg
shot	191.64	199.69	8.04	4	clip04-02.jpg
shot	199.69	207.73	8.04	4	clip04-03.jpg
shot	207.73	215.78	8.04	4	clip04-04.jpg
shot	215.78	223.82	8.04	4	clip04-05.jpg
shot	223.82	231.86	8.04	4	clip04-01.jpg
shot	231.86	239.91	8.04	4	clip04-02.jpg
shot	239.91	247.95	8.04	4	clip04-03.jpg
shot	247.95	256.04	8.09	5	clip05-01.jpg
shot	256.04	264.13	8.09	5	clip05-02.jpg
shot	264.13	272.22	8.09	5	clip05-03.jpg
shot	272.22	280.30	8.09	5	clip05-04.jpg
shot	280.30	288.39	8.09	5	clip05-05.jpg
shot	288.39	296.48	8.09	5	clip05-01.jpg
shot	296.48	304.57	8.09	5	clip05-02.jpg
shot	304.57	312.86	8.29	6	clip06-01.jpg
shot	312.86	321.14	8.29	6	clip06-02.jpg
shot	321.14	329.43	8.29	6	clip06-01.jpg
shot	329.43	337.72	8.29	6	clip06-02.jpg
shot	337.72	346.00	8.29	6	clip06-01.jpg
shot	346.00	354.29	8.29	6	clip06-02.jpg
shot	354.29	362.58	8.29	6	clip06-01.jpg
shot	362.58	370.86	8.29	6	clip06-02.jpg
shot	370.86	379.15	8.29	6	clip06-01.jpg
shot	379.15	387.43	8.28	7	clip07-01.jpg
shot	387.43	395.71	8.28	7	clip07-02.jpg
shot	395.71	404.00	8.28	7	clip07-03.jpg
shot	404.00	412.28	8.28	7	clip07-04.jpg
shot	412.28	420.56	8.28	7	clip07-01.jpg
shot	420.56	428.84	8.28	7	clip07-02.jpg
shot	428.84	437.13	8.28	7	clip07-03.jpg
shot	437.13	445.41	8.28	7	clip07-04.jpg
shot	445.41	453.69	8.28	7	clip07-01.jpg
shot	453.69	461.49	7.80	8	clip08-01.jpg
shot	461.49	469.29	7.80	8	clip08-02.jpg
shot	469.29	477.09	7.80	8	clip08-03.jpg
shot	477.09	484.89	7.80	8	clip08-04.jpg
shot	484.89	492.69	7.80	8	clip08-05.jpg
shot	492.69	500.49	7.80	8	clip08-01.jpg
shot	500.49	508.29	7.80	8	clip08-02.jpg
shot	508.29	516.09	7.80	8	clip08-03.jpg
shot	516.09	523.89	7.80	8	clip08-04.jpg
shot	523.89	532.35	8.46	9	clip09-01.jpg
shot	532.35	540.82	8.46	9	clip09-02.jpg
shot	540.82	549.28	8.46	9	clip09-03.jpg
shot	549.28	557.74	8.46	9	clip09-04.jpg
shot	557.74	566.21	8.46	9	clip09-05.jpg
shot	566.21	574.67	8.46	9	clip09-06.jpg
shot	574.67	583.13	8.46	9	clip09-01.jpg
shot	583.13	591.59	8.46	9	clip09-02.jpg
shot	591.59	600.06	8.46	9	clip09-03.jpg
shot	600.06	608.52	8.46	9	clip09-04.jpg
shot	608.52	616.43	7.91	10	clip10-01.jpg
shot	616.43	624.34	7.91	10	clip10-02.jpg
shot	624.34	632.25	7.91	10	clip10-03.jpg
shot	632.25	640.16	7.91	10	clip10-04.jpg
shot	640.16	648.07	7.91	10	clip10-05.jpg
shot	648.07	655.98	7.91	10	clip10-06.jpg
shot	655.98	663.88	7.91	10	clip10-01.jpg
shot	663.88	671.79	7.91	10	clip10-02.jpg
shot	671.79	679.70	7.91	10	clip10-03.jpg
shot	679.70	687.61	7.91	10	clip10-04.jpg
shot	687.61	695.52	7.91	10	clip10-05.jpg
shot	695.52	703.43	7.91	10	clip10-06.jpg
shot	703.43	711.59	8.16	11	clip11-01.jpg
shot	711.59	719.75	8.16	11	clip11-02.jpg
shot	719.75	727.91	8.16	11	clip11-01.jpg
shot	727.91	736.07	8.16	11	clip11-02.jpg
shot	736.07	744.23	8.16	11	clip11-01.jpg
shot	744.23	752.39	8.16	11	clip11-02.jpg
shot	752.39	760.55	8.16	11	clip11-01.jpg
shot	760.55	768.71	8.16	11	clip11-02.jpg
shot	768.71	776.87	8.16	11	clip11-01.jpg
shot	776.87	789.32	12.45	12	clip12-01.jpg
shot	789.32	801.78	12.45	12	clip12-01.jpg
shot	801.78	814.23	12.45	12	clip12-01.jpg
card	1.47	6.07	4.60	1	CARD 2: Ronald Read
card	18.45	20.51	2.06	1	CARD 3: अमीर कौन मरा?
card	20.63	24.43	3.80	1	CARD 4: $8 million
card	35.55	39.75	4.20	1	CARD 5: "I currently have no income."
card	67.01	71.61	4.60	1	CARD 6: पैसे का खेल IQ का नहीं — behaviour का है
card	80.50	84.10	3.60	2	CARD 7: Lesson 1
card	134.81	138.41	3.60	3	CARD 8: Lesson 2
card	167.10	170.90	3.80	3	CARD 9: Pattern देखो, एक hero की story नहीं
card	209.03	212.63	3.60	4	CARD 10: Lesson 3
card	248.94	252.74	3.80	5	CARD 11: Rajat Gupta
card	272.85	276.45	3.60	5	CARD 12: Lesson 4
card	306.38	310.18	3.80	6	CARD 13: ₹3 करोड़
card	331.32	335.12	3.80	6	CARD 14: ₹90 लाख
card	380.88	384.48	3.60	7	CARD 15: Lesson 5
card	430.80	435.00	4.20	7	CARD 16: Survival is the strategy.
card	454.64	458.24	3.60	8	CARD 17: Lesson 6
card	524.82	528.42	3.60	9	CARD 18: Lesson 7
card	560.42	564.22	3.80	9	CARD 19: BMW = $0 wealth
card	636.48	640.08	3.60	10	CARD 20: Lesson 8
card	706.18	709.58	3.40	11	CARD 21: 8 सबक, एक वाक्य
card	768.14	772.54	4.40	11	CARD 22: पैसे का खेल behaviour का है। / और behaviour सीखा जा सकता है।
